Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -135.68371278597604, time: 21.285
steps: 49975, episodes: 2000, mean episode reward: -194.67292276425053, time: 29.293
steps: 74975, episodes: 3000, mean episode reward: -59.6198944842567, time: 34.72
steps: 99975, episodes: 4000, mean episode reward: -57.004620237913436, time: 32.841
steps: 124975, episodes: 5000, mean episode reward: -48.559483637904904, time: 33.501
steps: 149975, episodes: 6000, mean episode reward: -46.20635265708703, time: 33.435
steps: 174975, episodes: 7000, mean episode reward: -43.74064904069072, time: 33.065
steps: 199975, episodes: 8000, mean episode reward: -45.47832386290294, time: 33.723
steps: 224975, episodes: 9000, mean episode reward: -46.7648106137493, time: 33.21
steps: 249975, episodes: 10000, mean episode reward: -46.454307929627944, time: 33.505
steps: 274975, episodes: 11000, mean episode reward: -45.126339985768865, time: 33.109
steps: 299975, episodes: 12000, mean episode reward: -44.885441717105905, time: 33.737
steps: 324975, episodes: 13000, mean episode reward: -45.15123341558773, time: 33.289
steps: 349975, episodes: 14000, mean episode reward: -44.08996813011309, time: 33.771
steps: 374975, episodes: 15000, mean episode reward: -43.587240806355446, time: 32.154
steps: 399975, episodes: 16000, mean episode reward: -45.7111248945878, time: 33.631
steps: 424975, episodes: 17000, mean episode reward: -47.67643750445802, time: 33.13
steps: 449975, episodes: 18000, mean episode reward: -46.51245766296098, time: 33.983
steps: 474975, episodes: 19000, mean episode reward: -45.94536960219403, time: 33.583
steps: 499975, episodes: 20000, mean episode reward: -48.2125197770389, time: 33.492
steps: 524975, episodes: 21000, mean episode reward: -47.12176762125095, time: 33.384
steps: 549975, episodes: 22000, mean episode reward: -47.69908077498891, time: 34.272
steps: 574975, episodes: 23000, mean episode reward: -40.23773581672701, time: 33.667
steps: 599975, episodes: 24000, mean episode reward: -39.454258450777346, time: 33.84
steps: 624975, episodes: 25000, mean episode reward: -40.974990756900425, time: 33.597
...Finished total of 25001 episodes.
