Using good policy ddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -159.06969863974462, time: 21.129
steps: 49975, episodes: 2000, mean episode reward: -148.35229082221053, time: 33.86
steps: 74975, episodes: 3000, mean episode reward: -65.63428226740183, time: 32.617
steps: 99975, episodes: 4000, mean episode reward: -62.92559701496895, time: 33.016
steps: 124975, episodes: 5000, mean episode reward: -62.78451942109799, time: 32.748
steps: 149975, episodes: 6000, mean episode reward: -61.21241410241866, time: 33.502
steps: 174975, episodes: 7000, mean episode reward: -63.05175358358012, time: 32.67
steps: 199975, episodes: 8000, mean episode reward: -63.40360440775441, time: 33.495
steps: 224975, episodes: 9000, mean episode reward: -61.04251803520346, time: 33.146
steps: 249975, episodes: 10000, mean episode reward: -60.43930646970127, time: 33.509
steps: 274975, episodes: 11000, mean episode reward: -61.156511503951435, time: 33.046
steps: 299975, episodes: 12000, mean episode reward: -61.531155797816915, time: 33.248
steps: 324975, episodes: 13000, mean episode reward: -62.69475616738384, time: 33.228
steps: 349975, episodes: 14000, mean episode reward: -62.553216927789975, time: 33.307
steps: 374975, episodes: 15000, mean episode reward: -61.20873907666035, time: 33.096
steps: 399975, episodes: 16000, mean episode reward: -59.99697193201901, time: 32.486
steps: 424975, episodes: 17000, mean episode reward: -59.37604964667775, time: 33.357
steps: 449975, episodes: 18000, mean episode reward: -61.59354115359551, time: 33.199
steps: 474975, episodes: 19000, mean episode reward: -60.98874882529505, time: 33.288
steps: 499975, episodes: 20000, mean episode reward: -62.594560961831895, time: 33.023
steps: 524975, episodes: 21000, mean episode reward: -62.473522180566405, time: 33.562
steps: 549975, episodes: 22000, mean episode reward: -63.878734665553786, time: 33.176
steps: 574975, episodes: 23000, mean episode reward: -61.0854604006565, time: 33.803
steps: 599975, episodes: 24000, mean episode reward: -61.758392803554536, time: 33.185
steps: 624975, episodes: 25000, mean episode reward: -62.14082393797404, time: 33.636
...Finished total of 25001 episodes.
